P1;482703,752;7199437,511;152578,87;208° 08' 42,80'';Paulo de Tal;Estrada Municipal
P2;410731,079;7064900,356;202226,91;258° 19' 26,88'';Jaime Batista;Estrada Municipal
P3;212688,623;7023974,718;174400,21;353° 01' 42,00'';Jaime Batista;Estrada Municipal
P4;191520,19;7197085,463;147976,54;75° 49' 52,43'';Jaime Batista;Cerca
P5;334995,128;7233307,004;151542,01;102° 54' 52,67'';Grupo São Roque;Cerca
P6;603621,18;7608706,44;;;;
P7;603666,3;7608698,62;;;;
P8;603662,67;7608612,89;;;;
P9;603483,6;7608017,64;;;;
P10;603417,09;7607986,63;;;;
